added,element_in,element_out,entry,event,id,index,kind,priority,result,gw,id:1,out_pts,in_pts,element_in_name,element_out_name,diff
2023-11-23T19:43:50.645422Z,112,36,249496,13,26388532,32.0,w,11.0,a,14,36,1,2,Pinnock,Cash,1
2023-11-24T10:53:50.364112Z,528,48,218961,13,26682022,30.0,w,8.0,a,14,48,1,5,Coufal,Konsa,4
2023-11-25T08:41:28.429576Z,569,49,230738,13,26752683,,f,,a,14,49,2,0,José Sá,Martinez,-2
2023-11-24T09:59:23.263754Z,202,106,219160,13,26629345,20.0,w,5.0,a,14,106,0,-2,Gallagher,Jensen,-2
2023-11-24T10:53:50.364039Z,82,132,218961,13,26682018,16.0,w,4.0,a,14,132,2,5,Semenyo,Ferguson,3
2023-11-25T03:11:34.723042Z,558,246,218961,13,26741333,,f,,a,14,246,0,2,Raúl,Calvert-Lewin,2
2023-11-25T05:19:06.882409Z,177,258,229056,13,26744601,,f,,a,14,258,8,6,Rodriguez,Maupay,-2
2023-11-14T23:47:36.371947Z,604,265,229056,13,25744016,12.0,w,3.0,a,14,265,8,0,Aina,Tarkowski,-8
2023-11-24T10:53:50.364094Z,341,342,218961,13,26682021,27.0,w,7.0,a,14,342,1,1,Akanji,Aké,0
2023-11-24T12:49:17.985258Z,33,437,219160,13,26701174,,f,,a,14,437,0,1,Archer,Awoniyi,1
2023-11-23T19:43:50.645385Z,249,501,249496,13,26388530,29.0,w,9.0,a,14,501,12,3,A.Doucoure,Kulusevski,-9
2023-11-14T23:47:36.371866Z,216,504,229056,13,25744014,1.0,w,1.0,a,14,504,0,2,Sterling,Maddison,2
2023-11-23T21:53:41.581332Z,506,519,230738,13,26427096,10.0,w,3.0,a,14,519,0,0,Pedro Porro,Udogie,0
2023-11-23T19:43:50.645180Z,85,523,249496,13,26388522,2.0,w,1.0,a,14,523,0,6,Solanke,Antonio,6
2023-11-25T08:42:45.712515Z,522,632,230738,13,26752761,,f,,a,14,632,7,2,N.Aguerd,Livramento,-5
2023-11-23T19:43:50.645342Z,26,43,249496,13,26388528,24.0,w,7.0,a,14,43,2,2,Trossard,Douglas Luiz,0
2023-11-24T10:53:50.363997Z,226,540,218961,13,26682016,4.0,w,2.0,a,14,540,2,0,Eze,Rice,-2
2023-11-23T19:43:50.645262Z,468,433,249496,13,26388524,14.0,w,3.0,a,14,433,0,2,Wood,Wilson,2
2023-11-25T08:35:47.382641Z,242,508,230738,13,26752285,,f,,a,14,508,1,2,Ward,Reguilón,1
2023-11-24T09:59:23.263572Z,398,401,219160,13,26629341,7.0,w,1.0,a,14,401,2,2,Shaw,Wan-Bissaka,0
