team,waiver_gw,player_in,player_out,waiver_or_free,next_gw,player_in_pts,player_out_pts,net_pts
Walid Sb,4,Flekken,Raya,w,5,1,8,-7
Walid Sb,4,Ferguson,João Pedro,f,5,1,7,-6
Masala Pan FC,4,Raúl,Edouard,w,5,2,8,-6
Lulla XI,4,Andersen,Digne,w,5,1,5,-4
Dandandania,4,Sarr,Bailey,w,5,2,5,-3
Lulli XI,4,N.Aguerd,Martinez,w,5,1,4,-3
Masala Pan FC,4,J.Ayew,McGinn,w,5,1,1,0
Bald is Best,4,Emerson,Dalot,w,5,1,1,0
Masala Pan FC,4,Darwin,Semenyo,w,5,1,0,1
Dandandania,4,Cash,James,w,5,1,0,1
Masala Pan FC,4,Aké,R.Varane,w,5,1,0,1
Masala Pan FC,4,Almirón,Sarabia,w,5,1,0,1
Lulla XI,4,Areola,Martinez,w,5,4,2,2
Bald is Best,4,Gordon,Szoboszlai,w,5,5,2,3
Lulli XI,4,Schär,E.Royal,w,5,7,1,6
Dandandania,4,Gross,Bissouma,w,5,10,1,9
