name,gw,points
Noman,1,68
Faaez,1,52
Danial,1,48
Faaiz,1,43
Feroze,1,40
Kumail,1,30
Noman,2,124
Faaiz,2,114
Danial,2,79
Feroze,2,79
Faaez,2,78
Kumail,2,75
Noman,3,174
Faaiz,3,156
Feroze,3,140
Danial,3,132
Kumail,3,129
Faaez,3,111
Noman,4,242
Faaiz,4,202
Feroze,4,178
Kumail,4,171
Danial,4,171
Faaez,4,154
Noman,5,269
Faaiz,5,243
Feroze,5,214
Danial,5,211
Kumail,5,207
Faaez,5,182
Noman,6,321
Faaiz,6,300
Kumail,6,270
Feroze,6,268
Danial,6,264
Faaez,6,228
Noman,7,384
Faaiz,7,375
Feroze,7,320
Kumail,7,313
Danial,7,310
Faaez,7,258
Faaiz,8,436
Noman,8,413
Feroze,8,358
Danial,8,356
Kumail,8,338
Faaez,8,305
Noman,9,491
Faaiz,9,485
Feroze,9,409
Kumail,9,395
Danial,9,385
Faaez,9,355
Noman,10,569
Faaiz,10,525
Feroze,10,457
Kumail,10,445
Danial,10,427
Faaez,10,393
Noman,11,596
Faaiz,11,566
Feroze,11,516
Danial,11,480
Kumail,11,478
Faaez,11,435
Noman,12,655
Faaiz,12,613
Feroze,12,550
Danial,12,525
Kumail,12,504
Faaez,12,476
Noman,13,687
Faaiz,13,644
Feroze,13,597
Kumail,13,543
Danial,13,543
Faaez,13,529
Noman,14,733
Faaiz,14,692
Feroze,14,644
Danial,14,582
Kumail,14,581
Faaez,14,561
Noman,15,771
Faaiz,15,737
Feroze,15,678
Kumail,15,623
Danial,15,622
Faaez,15,605
Noman,16,807
Faaiz,16,783
Feroze,16,698
Kumail,16,651
Danial,16,651
Faaez,16,628
Noman,17,855
Faaiz,17,823
Feroze,17,761
Kumail,17,723
Danial,17,675
Faaez,17,674
Noman,18,885
Faaiz,18,862
Feroze,18,808
Kumail,18,760
Danial,18,699
Faaez,18,689
Noman,19,929
Faaiz,19,905
Feroze,19,833
Kumail,19,785
Danial,19,739
Faaez,19,723
Faaiz,20,980
Noman,20,966
Feroze,20,880
Kumail,20,823
Danial,20,795
Faaez,20,775
Faaiz,21,1038
Noman,21,1011
Feroze,21,937
Kumail,21,891
Danial,21,857
Faaez,21,835
Faaiz,22,1085
Noman,22,1064
Feroze,22,999
Kumail,22,947
Danial,22,908
Faaez,22,875
Faaiz,23,1141
Noman,23,1109
Feroze,23,1065
Kumail,23,975
Danial,23,959
Faaez,23,908
Faaiz,24,1174
Noman,24,1156
Feroze,24,1115
Danial,24,1016
Kumail,24,1013
Faaez,24,946
Faaiz,25,1241
Noman,25,1235
Feroze,25,1173
Kumail,25,1080
Danial,25,1073
Faaez,25,995
Faaiz,26,1317
Noman,26,1295
Feroze,26,1208
Danial,26,1122
Kumail,26,1115
Faaez,26,1010
Faaiz,27,1388
Noman,27,1362
Feroze,27,1259
Danial,27,1177
Kumail,27,1156
Faaez,27,1044
Noman,28,1431
Faaiz,28,1419
Feroze,28,1294
Danial,28,1222
Kumail,28,1203
Faaez,28,1099
Faaiz,29,1461
Noman,29,1445
Feroze,29,1311
Danial,29,1240
Kumail,29,1234
Faaez,29,1116
Faaiz,30,1524
Noman,30,1475
Feroze,30,1358
Danial,30,1280
Kumail,30,1271
Faaez,30,1151
Faaiz,31,1574
Noman,31,1505
Feroze,31,1403
Danial,31,1334
Kumail,31,1310
Faaez,31,1209
Faaiz,32,1613
Noman,32,1541
Feroze,32,1436
Danial,32,1376
Kumail,32,1360
Faaez,32,1261
Faaiz,33,1632
Noman,33,1594
Feroze,33,1490
Danial,33,1413
Kumail,33,1390
Faaez,33,1316
Faaiz,34,1705
Noman,34,1700
Feroze,34,1566
Danial,34,1504
Kumail,34,1461
Faaez,34,1365
Noman,35,1753
Faaiz,35,1742
Feroze,35,1615
Danial,35,1543
Kumail,35,1509
Faaez,35,1414
Noman,36,1831
Faaiz,36,1787
Feroze,36,1661
Danial,36,1604
Kumail,36,1561
Faaez,36,1469
Noman,37,1898
Faaiz,37,1838
Feroze,37,1711
Danial,37,1671
Kumail,37,1642
Faaez,37,1563
