team_id,gw,points,total_points
249496,1,30,30
249496,2,45,75
249496,3,54,129
249496,4,42,171
249496,5,36,207
249496,6,63,270
249496,7,43,313
249496,8,25,338
249496,9,57,395
249496,10,50,445
249496,11,33,478
249496,12,26,504
249496,13,39,543
249496,14,38,581
249496,15,42,623
249496,16,28,651
249496,17,72,723
249496,18,37,760
249496,19,25,785
249496,20,38,823
249496,21,68,891
249496,22,56,947
249496,23,28,975
249496,24,38,1013
249496,25,67,1080
249496,26,35,1115
249496,27,41,1156
230738,1,68,68
230738,2,56,124
230738,3,50,174
230738,4,68,242
230738,5,27,269
230738,6,52,321
230738,7,63,384
230738,8,29,413
230738,9,78,491
230738,10,78,569
230738,11,27,596
230738,12,59,655
230738,13,32,687
230738,14,46,733
230738,15,38,771
230738,16,36,807
230738,17,48,855
230738,18,30,885
230738,19,44,929
230738,20,37,966
230738,21,45,1011
230738,22,53,1064
230738,23,45,1109
230738,24,47,1156
230738,25,79,1235
230738,26,60,1295
230738,27,67,1362
229056,1,52,52
229056,2,26,78
229056,3,33,111
229056,4,43,154
229056,5,28,182
229056,6,46,228
229056,7,30,258
229056,8,47,305
229056,9,50,355
229056,10,38,393
229056,11,42,435
229056,12,41,476
229056,13,53,529
229056,14,32,561
229056,15,44,605
229056,16,23,628
229056,17,46,674
229056,18,15,689
229056,19,34,723
229056,20,52,775
229056,21,60,835
229056,22,40,875
229056,23,33,908
229056,24,38,946
229056,25,49,995
229056,26,15,1010
229056,27,34,1044
219160,1,43,43
219160,2,71,114
219160,3,42,156
219160,4,46,202
219160,5,41,243
219160,6,57,300
219160,7,75,375
219160,8,61,436
219160,9,49,485
219160,10,40,525
219160,11,41,566
219160,12,47,613
219160,13,31,644
219160,14,48,692
219160,15,45,737
219160,16,46,783
219160,17,40,823
219160,18,39,862
219160,19,43,905
219160,20,75,980
219160,21,58,1038
219160,22,47,1085
219160,23,56,1141
219160,24,33,1174
219160,25,67,1241
219160,26,76,1317
219160,27,71,1388
218961,1,48,48
218961,2,31,79
218961,3,53,132
218961,4,39,171
218961,5,40,211
218961,6,53,264
218961,7,46,310
218961,8,46,356
218961,9,29,385
218961,10,42,427
218961,11,53,480
218961,12,45,525
218961,13,18,543
218961,14,39,582
218961,15,40,622
218961,16,29,651
218961,17,24,675
218961,18,24,699
218961,19,40,739
218961,20,56,795
218961,21,62,857
218961,22,51,908
218961,23,51,959
218961,24,57,1016
218961,25,57,1073
218961,26,49,1122
218961,27,55,1177
218851,1,40,40
218851,2,39,79
218851,3,61,140
218851,4,38,178
218851,5,36,214
218851,6,54,268
218851,7,52,320
218851,8,38,358
218851,9,51,409
218851,10,48,457
218851,11,59,516
218851,12,34,550
218851,13,47,597
218851,14,47,644
218851,15,34,678
218851,16,20,698
218851,17,63,761
218851,18,47,808
218851,19,25,833
218851,20,47,880
218851,21,57,937
218851,22,62,999
218851,23,66,1065
218851,24,50,1115
218851,25,58,1173
218851,26,35,1208
218851,27,51,1259
