id,points,total_points,event_transfers,points_on_bench,entry,event
94973,40,40,0,0,218851,1
488183,39,79,0,0,218851,2
946928,61,140,0,0,218851,3
1471208,38,178,0,0,218851,4
1995488,36,214,0,0,218851,5
2519768,54,268,0,0,218851,6
3044048,52,320,0,0,218851,7
3568328,38,358,0,0,218851,8
4089924,51,409,0,0,218851,9
4679739,48,457,0,0,218851,10
5269554,59,516,0,0,218851,11
5859369,34,550,0,0,218851,12
6449184,47,597,0,0,218851,13
6982552,47,644,0,0,218851,14
7572367,34,678,0,0,218851,15
8162182,20,698,0,0,218851,16
8751997,63,761,0,0,218851,17
9341812,47,808,0,0,218851,18
9931627,25,833,0,0,218851,19
10521442,47,880,0,0,218851,20
11111257,57,937,0,0,218851,21
11701072,62,999,0,0,218851,22
12290887,66,1065,0,0,218851,23
12880702,50,1115,0,0,218851,24
13428528,58,1173,0,0,218851,25
14018343,35,1208,0,0,218851,26
14608158,51,1259,0,0,218851,27
