team,waiver_or_free,waiver_gw,next_gw,player_in,player_in_pts,player_out,player_out_pts,net_pts
Bald is Best,w,10,11.0,Doku,22.0,March,0.0,22.0
Walid Sb,f,33,34.0,Mateta,29.0,Semenyo,10.0,19.0
Bald is Best,f,9,10.0,Nketiah,17.0,Broja,0.0,17.0
Lulla XI,w,20,21.0,Diogo J.,19.0,Townsend,2.0,17.0
Dandandania,f,21,22.0,Adebayo,17.0,Edouard,1.0,16.0
Dandandania,f,32,33.0,Doku,16.0,J.Ayew,1.0,15.0
Walid Sb,w,27,28.0,Semenyo,15.0,Calvert-Lewin,1.0,14.0
Masala Pan FC,w,34,35.0,Gvardiol,15.0,Andersen,1.0,14.0
Lulla XI,w,29,30.0,Konsa,15.0,Gusto,1.0,14.0
Bald is Best,f,26,27.0,Areola,13.0,A.Becker,0.0,13.0
